feature,importance_regression,importance_classification,importance_combined,rank,perm_importance_mean,perm_importance_std,shap_importance
UHI_Intensity,0.771469,0.917826,0.844648,1,0.003217,0.000270,11.753918
Anthropogenic_Heat,0.078105,0.042749,0.060427,2,-0.000014,0.000013,1.192469
Building_Density,0.086304,0.001408,0.043856,3,-0.000000,0.000000,0.827422
Building_Volume,0.028434,0.016744,0.022589,4,0.001071,0.000100,0.570498
NDBI,0.020965,0.006522,0.013743,5,0.006021,0.000420,0.489624
Population_Density,0.013431,0.007081,0.010256,6,0.004425,0.000363,0.247885
Nighttime_Lights,0.001195,0.006546,0.003870,7,0.000003,0.000006,0.076909
MNDWI,0.000036,0.000527,0.000281,8,0.000835,0.000208,0.004881
Dist_Green,0.000061,0.000484,0.000273,9,1.398028,0.099621,0.004561
LULC_ESA,0.000000,0.000114,0.000057,10,0.031674,0.001995,0.000485
